Timestamp;gLeftWheelTicks;gRightWheelTicks;gTheta_hat;gX_hat;gY_hat
378197000;1;37;-1.867804E+000;31;91
378222000;5;37;-1.854577E+000;30;87
378247000;5;37;-1.854577E+000;30;87
378271000;9;36;-1.841935E+000;28;83
378294000;9;36;-1.828345E+000;27;78
378322000;10;34;-1.828345E+000;27;78
378348000;12;34;-1.813248E+000;26;73
378371000;12;34;-1.813248E+000;26;69
378395000;12;34;-1.803142E+000;25;69
378419000;13;32;-1.793217E+000;24;64
378447000;13;32;-1.793217E+000;24;64
378472000;13;32;-1.783351E+000;23;59
378495000;13;32;-1.774837E+000;22;54
378520000;14;29;-1.774837E+000;22;54
378545000;14;29;-1.767038E+000;21;50
378570000;18;33;-1.767038E+000;21;50
378594000;13;19;-1.757195E+000;20;44
378617000;13;19;-1.752117E+000;19;41
378642000;16;22;-1.752117E+000;19;41
378669000;15;20;-1.747687E+000;18;37
378694000;15;20;-1.747687E+000;18;33
378717000;14;17;-1.743053E+000;18;33
378740000;14;16;-1.741049E+000;17;30
378768000;14;16;-1.741049E+000;17;30
378793000;12;14;-1.739094E+000;16;27
378817000;12;14;-1.739094E+000;16;24
378841000;12;12;-1.737666E+000;16;24
378868000;10;11;-1.737239E+000;16;22
378892000;10;11;-1.737239E+000;16;22
378916000;9;9;-1.736196E+000;15;19
378939000;9;9;-1.736347E+000;15;18
378963000;7;7;-1.736347E+000;15;18
378990000;5;6;-1.736482E+000;15;16
379011000;5;6;-1.736482E+000;15;16
379034000;4;5;-1.735859E+000;14;15
379057000;4;5;-1.735859E+000;14;14
379084000;1;4;-1.735266E+000;14;14
379110000;1;-2;-1.733659E+000;14;13
379134000;1;-2;-1.733659E+000;14;13
379157000;3;-3;-1.735544E+000;14;13
379180000;3;-3;-1.739267E+000;14;13
379205000;3;-5;-1.739267E+000;14;13
379232000;4;-7;-1.744081E+000;14;14
379255000;4;-7;-1.744081E+000;14;14
379278000;5;-8;-1.750706E+000;14;14
379302000;5;-8;-1.758068E+000;14;14
379327000;5;-9;-1.758068E+000;14;14
379353000;6;-11;-1.765786E+000;14;15
379377000;6;-11;-1.765786E+000;14;15
379401000;7;-11;-1.776374E+000;15;15
379425000;7;-12;-1.787331E+000;15;16
379450000;7;-12;-1.787331E+000;15;16
379475000;7;-12;-1.799741E+000;15;16
379498000;7;-12;-1.799741E+000;15;17
379523000;9;-12;-1.811099E+000;15;17
379547000;9;-12;-1.823611E+000;15;17
379571000;12;-15;-1.823611E+000;15;17
379596000;8;-9;-1.838926E+000;15;17
379619000;8;-9;-1.838926E+000;15;17
379642000;11;-12;-1.850039E+000;15;17
379665000;11;-12;-1.863766E+000;15;18
379690000;12;-12;-1.863766E+000;15;18
379714000;12;-11;-1.878111E+000;15;18
379738000;12;-11;-1.878111E+000;15;18
